21,1c,Manitoba - Dates d&rsquo;&eacute;ch&eacute;ance prolong&eacute;es pour la transmission des d&eacute;clarations fiscales et les paiements,"Les entreprises du Manitoba touch&eacute;es par le ralentissement &eacute;conomique en raison de la COVID-19, disposeront de plus de temps pour transmettre les taxes provinciales.",Découvrez-en plus,./guidance/Manitoba-extended-due-dates-for-tax-filing-and-payments.html
22,1d,​Programmes du Nouveau-Brunwick,Mesures d’aide immédiates pour aider les entreprises à maintenir leurs operations commerciales régulières.,Découvrez-en plus,https://www2.gnb.ca/content/gnb/fr/gateways/Information_pour_les_entreprises/covid19.html
23,1e,Programmes de Terre-Neuve et du Labrador,Mesures d’aide immédiates pour aider les entreprises à maintenir leurs operations commerciales régulières.,Découvrez-en plus (en Anglais),https://www.gov.nl.ca/covid-19/resources-2/
24,1f,Programmes de la Nouvelle-Écosse,Mesures d’aide immédiates pour aider les entreprises à maintenir leurs operations commerciales régulières.,Découvrez-en plus,https://novascotia.ca/coronavirus/support/fr/#support-for-business
25,1g+5a,Ontario - Augmentation de l&apos;exon&eacute;ration au titre de l&apos;imp&ocirc;t-sant&eacute; des employeurs (ISE) pour 2020,"Le gouvernement de l&rsquo;Ontario augmente de fa&ccedil;on r&eacute;troactive l&apos;exon&eacute;ration au titre de l&apos;imp&ocirc;t-sant&eacute; des employeurs (ISE) pour accorder un all&egrave;gement aux entreprises, &agrave; la suite de la pand&eacute;mie du COVID-19.",Découvrez-en plus,./guidance/ontario-employer-health-tax-eht-exemption-increase-for-2020.html
26,1g,Ontario - P&eacute;riode d&rsquo;all&egrave;gement de 5 mois pour l&apos;imp&ocirc;t‑sant&eacute; des employeurs (ISE) et des autres taxes provinciales,"Le gouvernement de l&rsquo;Ontario a accord&eacute; un all&egrave;gement de 5 mois pour les int&eacute;r&ecirc;ts et les p&eacute;nalit&eacute;s des entreprises ontariennes, en regard &agrave; certaines taxes provinciales, &agrave; la suite de la pand&eacute;mie du COVID-19.",Découvrez-en plus,./guidance/ontario-5-month-relief-period-for-employer-health-tax-eht-and-other-provincial-taxes.html
27,1g,Ontario - Report des d&eacute;clarations des primes &agrave; la WSIB (CSST) et paiements,"L&rsquo;Ontario accorde un all&egrave;gement aux employeurs, en reportant les d&eacute;clarations des primes &agrave; la WSIB, ainsi que les paiements, en raison du  COVID-19.",Découvrez-en plus,./guidance/ontario-deferral-of-wsib-premium-reporting-and-payments.html
28,1h,Programmes de l’Ȋle du Prince-Édouard,Mesures d’aide immédiates pour aider les entreprises à maintenir leurs operations commerciales régulières.,Découvrez-en plus,https://www.princeedwardisland.ca/fr/sujet/information-pour-les-entreprises
29,1i,Qu&eacute;bec - Report des d&eacute;clarations d&rsquo;imp&ocirc;ts et des paiements,"Le gouvernement du Qu&eacute;bec a accord&eacute; un certain all&egrave;gement aux contribuables qu&eacute;b&eacute;cois en prolongeant les dates d&rsquo;&eacute;ch&eacute;ance, afin de leur donner plus de temps pour transmettre leurs d&eacute;clarations et effectuer les paiements, &agrave; la suite de la pand&eacute;mie du COVID-19.",Découvrez-en plus,./guidance/quebec-deferral-of-tax-reporting-and-payments.html
30,1i+8c,Qu&eacute;bec - Un moratoire de 6 mois sur le remboursement des pr&ecirc;ts &agrave; La Financi&egrave;re agricole du Qu&eacute;bec (FADQ),"La Financi&egrave;re agricole du Qu&eacute;bec (FADQ) met en place des mesures pour accompagner les producteurs agricoles, en offrant un moratoire de 6 mois sur le remboursement des pr&ecirc;ts, et en prolongeant la date d&apos;adh&eacute;sion et les avis de cotisation pour le Programme d&rsquo;assurance r&eacute;colte.",Découvrez-en plus,./guidance/quebec-6-month-moratorium-on-loan-repayments-to-la-financiere-agricole-clients.html
31,1i,Qu&eacute;bec - Financement d&apos;urgence pour les petites et moyennes entreprises (jusqu&rsquo;&agrave; 50 000 $),"Le gouvernement du Qu&eacute;bec offre des pr&ecirc;ts d&rsquo;urgence pour les entreprises, qui &eacute;prouvent des difficult&eacute;s financi&egrave;res durant la pand&eacute;mie du COVID-19.",Découvrez-en plus,./guidance/quebec-emergency-funding-for-small-and-medium-companies-up-to-50000.html
32,1i,Qu&eacute;bec - Investissement Qu&eacute;bec - Pr&ecirc;t ou Garantie de pr&ecirc;t (50 000 $ ou plus),"Un nouveau programme du gouvernement du Qu&eacute;bec qui aide les entreprises et les organismes &agrave; but non lucratif, aux prises avec des probl&egrave;mes de tr&eacute;sorerie temporaires.",Découvrez-en plus,./guidance/quebec-investissement-quebec-loan-or-loan-guarantee-50000-or-greater.html
33,1i,Québec - Programme actions concertées pour le maintien en emploi (PACME–COVID-19),Le gouvernement du Qu&eacute;bec offre une aide financi&egrave;re directe aux entreprises pour promouvoir la formation des comp&eacute;tences du personnel et la gestion des ressources humaines.,Découvrez-en plus,./guidance/quebec-programme-actions-concertees-pour-le-maintien-en-emploi-pacme-covid-19.html
34,1i+8a,Qu&eacute;bec - Aide financi&egrave;re pour le maintien des services a&eacute;riens r&eacute;gionaux essentiels​,"Un programme d&rsquo;aide financi&egrave;re pour la prestation de services a&eacute;riens r&eacute;gionaux essentiels durant l&rsquo;urgence sanitaire du COVID-19, en subventionnant les d&eacute;ficit d&apos;exercice.",Découvrez-en plus,./guidance/quebec-financial-help-for-the-maintenance-of-essential-regional-air-services.html
35,1i,Qu&eacute;bec - Mesures d&rsquo;assouplissement de la CNESST,Aide financi&egrave;re de la CNESST pour les entreprises qu&eacute;b&eacute;coises.,Découvrez-en plus,./guidance/quebec-cnesst-flexibility-measures.html
36,1j,Saskatchewan - Programme de paiement d&rsquo;urgence pour les petites entreprises de la Saskatchewan  (SSBEP),"Une aide financi&egrave;re pour les petites entreprises de la Saskatchewan qui ont &eacute;t&eacute; condamn&eacute;es &agrave; fermer temporairement ou ont r&eacute;duit consid&eacute;rablement leurs op&eacute;rations au cours de la p&eacute;riode d'urgence publique, en raison d'une ordonnance de sant&eacute; publique pour aider &agrave; contrer la transmission de la COVID-19.",Découvrez-en plus,./guidance/saskatchewan-relief-for-saskatchewan-small-businesses.html
37,1k,Programmes des Territoires du Nord-Ouest,Mesures d’aide immédiates pour aider les entreprises à maintenir leurs operations commerciales régulières.,Découvrez-en plus,https://www.iti.gov.nt.ca/fr/ressources-pour-les-entreprises
38,1l,Programmes du Nunavut,Mesures d’aide immédiates pour aider les entreprises à maintenir leurs operations commerciales régulières.,Découvrez-en plus,https://gov.nu.ca/fr
39,1m,Programmes du Yukon,Mesures d’aide immédiates pour aider les entreprises à maintenir leurs operations commerciales régulières.,Découvrez-en plus,https://yukon.ca/fr/covid-19-support-yukoners
40,1c,Manitoba - Report des d&eacute;clarations des cotisations au WCB (CSST) et paiements,"Le WCB du Manitoba accorde un all&egrave;gement aux employeurs en reportant les paiements pour les cotisations, et en renon&ccedil;ant aux des p&eacute;nalit&eacute;s en raison du COVID-19.",Découvrez-en plus,./guidance/Manitoba-deferral-of-wcb-premium-reporting-and-payments.html
41,1j,Saskatchewan - Dates d&rsquo;&eacute;ch&eacute;ance prolong&eacute;es pour les paiements de taxe,"La Saskatchewan aide les entreprises qui ne sont pas en mesure d&rsquo;effectuer leurs paiements de taxe de vente provinciale (TVP), en raison de probl&egrave;mes de tr&eacute;sorerie li&eacute;s aux impacts de la COVID-19.",Découvrez-en plus,./guidance/saskatchewan-extended-due-dates-for-tax-payments.html
42,1j,Saskatchewan - Mesures d&rsquo;all&egrave;gement pour les employeurs qui paient des cotisations &agrave; la WCB (CSST),"Workers Compensation Board (WCB) de la Saskatchewan pr&eacute;sente des mesures d&rsquo;all&egrave;gement pour les employeurs qui ne sont pas en mesure de payer leurs cotisations &agrave; la WCB (CSST).",Découvrez-en plus,./guidance/saskatchewan-wcbs-employer-relief-measures.html
43,1j,Saskatchewan - Programme de soutien pour l&rsquo;isolement volontaire,"Le Programme de soutien pour l&rsquo;isolement volontaire est destin&eacute; aux travailleurs de la Saskatchewan qui sont oblig&eacute;s de s&rsquo;isoler, en vue de freiner la propagation de la COVID-19.",Découvrez-en plus,./guidance/saskatchewan-self-isolation-support-program.html
44,1b,Colombie-Britannique - Transmission des d&eacute;clarations fiscales prolong&eacute;e pour l&rsquo;exploitation foresti&egrave;re de la C.-B.,Le gouvernement de la C.-B. a prolong&eacute; la date d&rsquo;&eacute;ch&eacute;ance des d&eacute;clarations fiscales de l&rsquo;exploitation foresti&egrave;re de la C.-B.,Découvrez-en plus,./guidance/BC-extended-filing-date-for-logging-tax-return.html
45,"1i+2a+5a+7a, 1i+2b+5a+7a,1i+2c+5a+7a,1i+2d+5a+7a,1i+2e+5a+7a,1i+2f+5a+7a",Qu&eacute;bec - Cr&eacute;dit de cotisation au fonds des Services de sant&eacute;,"Un cr&eacute;dit de cotisation au fonds des Services de sant&eacute; pour les entreprises du Qu&eacute;bec qui ont des employ&eacute;s en cong&eacute; pay&eacute;, en raison de la COVID-19.",Découvrez-en plus,./guidance/quebec-credit-for-contributions-to-the-health-services-fund.html
